标题： 被我买到了Twizzlers，味道真是不一般。。	 链接：http://tieba.baidu.com//p/1422473593	 发帖人：IT呢儿	 发帖时间：2014-02	 回复数量：244
标题： 很好奇少年谢耳朵的这位越南好基友后来干什么去了	 链接：http://tieba.baidu.com//p/5488499844	 发帖人：简称顿...	 发帖时间：2017-12	 回复数量：28
标题： 【TBBT】整理了生活大爆炸1-11季🆎。 没看的吧友来拿	 链接：http://tieba.baidu.com//p/5664404822	 发帖人：你的小掰呀	 发帖时间：4-24	 回复数量：4
标题： 我发表了一篇视频贴，大伙来看看吧~	 链接：http://tieba.baidu.com//p/5644582823	 发帖人：做最做最...	 发帖时间：4-12	 回复数量：1
标题： 跪求一段耳朵与佩妮的对话	 链接：http://tieba.baidu.com//p/5665101534	 发帖人：抡锤书生	 发帖时间：4-24	 回复数量：0
标题： 废了好大劲截了谢耳朵NG的花絮里的笑，天呢，开心开心	 链接：http://tieba.baidu.com//p/5533140961	 发帖人：是南国啊	 发帖时间：1-29	 回复数量：9
标题： 想起来一个挺有意思的事，你们还记得谢耳朵为什么答应去和Amy	 链接：http://tieba.baidu.com//p/5659133237	 发帖人：初夏浅秋40	 发帖时间：4-21	 回复数量：3
标题： 【TBBT】整理了生活大爆炸1-11季🆎。 没看的吧友来拿	 链接：http://tieba.baidu.com//p/5663960811	 发帖人：你的小掰呀	 发帖时间：4-24	 回复数量：2
标题： 【大工程】从S01E01详细整理经典台词	 链接：http://tieba.baidu.com//p/5612218908	 发帖人：One口语大爆炸	 发帖时间：3-23	 回复数量：6
标题： 这个是谢耳朵妈妈么？	 链接：http://tieba.baidu.com//p/5656445630	 发帖人：化骨棉花...	 发帖时间：4-19	 回复数量：10
标题： 小谢耳朵的母亲和生活大爆炸里的母亲性格似乎不一样？小谢耳朵里	 链接：http://tieba.baidu.com//p/5661382931	 发帖人：欧美一个	 发帖时间：4-22	 回复数量：2
标题： 万能的吧友，这是第几季第几集的？	 链接：http://tieba.baidu.com//p/5656801342	 发帖人：耀眼的绿草	 发帖时间：4-19	 回复数量：9
标题： 生活大爆炸第十季 21集惊现三只松鼠！	 链接：http://tieba.baidu.com//p/5073165802	 发帖人：土豪校长	 发帖时间：2017-04	 回复数量：6
标题： 转贴:GAY里GAY气的男男CP混剪1	 链接：http://tieba.baidu.com//p/5662849171	 发帖人：射手座的...	 发帖时间：4-23	 回复数量：0
标题： B站看的每一集都盯着佩妮的巨乳	 链接：http://tieba.baidu.com//p/5270675922	 发帖人：trabootam	 发帖时间：2017-08	 回复数量：4
标题： 厉害了我的姐，某吧看到一部三级电影介绍发现女主竟然是伯纳黛特	 链接：http://tieba.baidu.com//p/4933108556	 发帖人：堇年不覆丶	 发帖时间：2017-01	 回复数量：142
标题： S08E18这集，显示了谢尔顿极为卑劣的一面，无可抵赖（含剧透）	 链接：http://tieba.baidu.com//p/3633778146	 发帖人：天路织锦	 发帖时间：2015-03	 回复数量：299
标题： 谢耳朵貌似是有天才病吧	 链接：http://tieba.baidu.com//p/5645166583	 发帖人：lixwei	 发帖时间：4-12	 回复数量：10
标题： 谁有谢尔顿这个表情的高清图？跪求	 链接：http://tieba.baidu.com//p/5661901478	 发帖人：愚蠢的土...	 发帖时间：4-22	 回复数量：0
标题： 【TBBT】整理了生活大爆炸1-11季🆎。 没看的吧友来拿	 链接：http://tieba.baidu.com//p/5661631619	 发帖人：你的小掰呀	 发帖时间：4-22	 回复数量：3
标题： 今天是第250集，期待能拍到300集	 链接：http://tieba.baidu.com//p/5635815802	 发帖人：lunan8619	 发帖时间：4-6	 回复数量：21
标题： 谢耳朵的哥哥是不是在生活大爆炸里从没出场过？	 链接：http://tieba.baidu.com//p/5452089394	 发帖人：铁马秋风...	 发帖时间：2017-11	 回复数量：37
标题： 演小谢耳朵的父亲的，在生活大爆炸里演过莱纳德小时候的同学。	 链接：http://tieba.baidu.com//p/5360289938	 发帖人：wssylar	 发帖时间：2017-10	 回复数量：14
标题： 看了好多季都没见过Howard的妈妈	 链接：http://tieba.baidu.com//p/5657040155	 发帖人：阴霾雨声	 发帖时间：4-19	 回复数量：5
标题： 都没注意到第11季	 链接：http://tieba.baidu.com//p/5661240781	 发帖人：小美鱼多多	 发帖时间：4-22	 回复数量：0
标题： 【TBBT】整理了生活大爆炸1-11季🆎。 没看的吧友来拿	 链接：http://tieba.baidu.com//p/5660824393	 发帖人：你的小掰呀	 发帖时间：4-22	 回复数量：3
标题： 【求成精】在Google地图上寻找“大爆炸”总部	 链接：http://tieba.baidu.com//p/4430309941	 发帖人：嘿_屁仔PuChi	 发帖时间：2016-03	 回复数量：138
标题： 求证：第四季最后一集，佩妮和拉杰真的做了吗？？？	 链接：http://tieba.baidu.com//p/1320173498	 发帖人：小柯net	 发帖时间：2011-12	 回复数量：39
